arch,model,best_epoch,val_dice,bg_dice,rv_dice,myo_dice,lv_dice,macro_dice
CineMA,CineMA,19,0.7821,0.9817,0.7833,0.6816,0.8616,0.7755
DINOv3,dinov3_vits16,20,0.877,0.9899,0.8655,0.8132,0.9249,0.8678
DINOv3,dinov3_vitb16,12,0.8846,0.9903,0.8706,0.8198,0.9265,0.8723
SAM 2.1,facebook/sam2.1-hiera-tiny,20,0.8838,0.9867,0.847,0.8299,0.9337,0.8702
SAM 2.1,facebook/sam2.1-hiera-small,19,0.8869,0.9872,0.8535,0.835,0.9331,0.8739
SAM 2.1,facebook/sam2.1-hiera-base-plus,19,0.8734,0.9858,0.8298,0.8191,0.928,0.859
SAM 2.1,facebook/sam2.1-hiera-large,17,0.8897,0.9875,0.8531,0.8435,0.9327,0.8764
SAM,facebook/sam-vit-base,18,0.8669,0.9855,0.8354,0.8112,0.9197,0.8554
SAM,facebook/sam-vit-large,19,0.8665,0.9849,0.832,0.7963,0.9197,0.8493
SAM,facebook/sam-vit-huge,19,0.8628,0.9844,0.8174,0.7985,0.9183,0.8447
